,acronym,title,id,objective,startDate,endDate,durationM,status,ecMaxContribution,totalCost,energy_in_obj,energy_in_title,matches_keywords_in_objective,count_keywords_mathes
19561,REZBUILD,REfurbishment decision making platform through advanced technologies for near Zero energy BUILDing renovation,768623,"Nowadays, the European construction market has to tackle the refurbishment of existing building stock. NZEB renovation methodologies are required as a key enabler through energy-efficient buildings. REZBUILD will address this challenge by opening the construction sector through the integration of innovative technologies such as leaves in a tree in order to pave the way towards an annual renovation rate of 2,5% instead of current rates lower than 1%.The aim is to develop one refurbishment ecosystem based on the integration of cost-effective technologies, business models and life cycle interaction for deep NZEB renovation to diverse residential renovation typologies and interconnecting both, building renovation stages and stakeholders. This innovation will establish a multi-collaborative framework within a refurbishment methodology managed by an Agile Project Management tool capable to interconnect in real-time the key steps of a tailored retrofitting plan among all stakeholders involved within the building renovation value chain. This ecosystem will ensure the fulfilment of three KPIs: 1)A deep renovation rate at least 60% of primary energy reduction as a result, the application of a decision tree strategy created from the combination of united principles of the novel sustainable architecture and NZEB design concepts; 2)A reduced installation time at least a 30% of time saving in comparison with a traditional refurbishment works,and; 3)A rapid payback period maximum 12 years of the best retrofitting technology package installed in the residential building. The environment will provide an ad-hoc amalgam of methodologies, cost-effective technologies and tools applicable within the main residential building typologies in EU, with the aim of achieving a large-scale penetration and deep impact within the rehabilitation of the current residential building stock after its optimization in 3 multi-scale demo buildings located in the most representative climates in EU.",2017-10-01,2022-01-31,52.0,SIGNED,6909476.83,8914100.09,['energy'],['energy'],"['building', 'nzeb', 'buildings']",3
19604,REMARKABLE,REMARKABLE Climate Leaders Achieving 2050 Climate Neutrality,101024972,"REMARKABLE will support local leaders to deliver a step change in progress towards carbon neutrality by 2050 in 7 regions across Europe.  REMARKABLE will establish, by 2024, a network of 320 Current and Emerging Climate Leaders who, through their actions and inspiration, will drive their municipalities, public authorities, communities and regions to transform their approaches from ones focused on energy efficiency/renewables to ones focused on the strategic goal of climate neutrality by 2050.  REMARKABLE will build new leadership capacity in 120 actors from 7 countries in Europe though a Climate Leadership Programme (CLP).  The CLP will be inspired by ethnographic research and will be designed with and for leaders across public authorities.  The REMARKABLE CLP will also facilitate the creation of 60 Roadmaps for public authorities aiming at Climate Neutrality by 2050.  These Roadmaps will allow our Climate Leaders to translate strategic aspirations and policy ambitions into concrete and disruptive far reaching measures stimulating €300m investment by 2030.  A Climate and Energy Check Tool will be developed and tested along with a Climate Neutrality Roadmap Guide.The 7 Regional Energy Agencies involved in REMARKABLE will develop 14 new services to expand their roles as change agents in the Clean Energy Transition and Climate Neutrality challenges.  Climate Neutrality Training, Climate One Stop Shops, Financing Solutions are targeted as potential services.   REMARKABLE will exploit its outcomes and results through the creation of an EU Climate Leaders Circle, reaching up to 320 members by 2024 including 30 from 7 Observer Regions/Countries. An innovative Climate Neutrality Challenge will be organised for Young Climate Leaders.  The REMARKABLE Circle  will create synergies with existing networks and initiatives e.g. COMO, ManagEnergy to support and enhance their impacts with the ambition of mobilising 10,000 stakeholders by 2030 (2,000 by 2024)",2021-09-01,2024-08-31,36.0,SIGNED,1653357.5,1653357.5,['energy'],,"['communities', 'climate']",2
19625,STORM,Self-organising Thermal Operational Resource Management,649743,"In STORM a generic district heating and cooling (DHC) network controller will be development and demonstration, with the ambition to increase the use of waste heat and renewable energy sources in the DHC network.The general applicability will be guaranteed by the following measures:- Applying self-learning control techniques instead of model-based control approaches, will make the controller easy to implement in different configuration and generations of DHC networks.- Three control strategies are included in the controller (peak shaving, market interaction, cell balancing). Dependent of the network, one or more of these strategies can be activated.- The controller will be an add-on to many existing DHC network controllers and SCADA systems.To present this general applicability, the controller will be demonstrated in two existing grids: one highly innovative low-temperature DHC network In the Netherlands and a more common medium-temperature district heating grid in Sweden.Since additional value is created by applying the control strategies in the controller, innovative business models should be developed to distribute this value amongst the different market players (producers, transporters, consumers of energy). This will also be addressed in the project.Also a plan will be developed on how the developed controller can be replicated to other countries than the ones of the demonstrators, taking into account different market organizations and legal framework.With respect to dissemination two levels of dissemination will be applied. A international dissemination will address the international research community, DHN network controller suppliers, international energy companies etc… Besides that, an additional local level will  be implemented where two local dissemination platforms will be installed integrating all local stakeholders (the energy company, users, local educational institutions, local politicians…). Special attention is foreseen for education.",2015-03-01,2019-03-31,49.0,CLOSED,1972125.94,1972125.94,['energy'],,"['district', 'community']",2
19643,NANOLASER,Dynamics of semiconductor nanoscale lasers,659012,"Reducing the energy consumption and increasing the density of interconnects have been identified as one of the major challenges in the development of future computing and communication systems. Optics is the only solution for solving this interconnect bottleneck, and the development of miniaturized, efficient, and fast optical sources is therefore of paramount importance. This project addresses these challenges aiming at the theoretical and experimental investigation of the high-speed dynamics of semiconductor lasers at an unconventional scale with the goal of determining their performance and ultimate physical limits for applications in ultra-fast communications, information processing, and on-chip optical interconnects. We target a novel generation of low-threshold electrically-injected metallic cavity semiconductor nanoscale laser (NANOLASER) sources for energy efficient and ultra-fast operation at the 1.55 µm fiber-optic communication window.In these nanophotonic components photons and carriers are both confined in a sub-wavelength cavity and close to the quantum level, with dimensions ranging from hundreds to tens of nanometers and, presenting fascinating new physical phenomena, unique to electromagnetic cavities. Using advanced nanofabrication, characterisation and modelling methods, we aim at fully understanding the the dynamical properties of nanolasers and building predictive dynamical physical models. We will explore their potential for low current operation, ultra-fast modulation and large scale integration. Additionally, a number of optoelectronic and optical injection mechanisms will be investigated for applications in on-off switching and all-optical communications signal buffering. This will have a strong impact on a broad spectrum of scientific fields, namely materials science, laser science, optoelectronics, optical physics, nanophotonics, nonlinear dynamics, and computer science.",2015-04-01,2017-03-31,24.0,SIGNED,165598.8,165598.8,['energy'],,"['energy consumption', 'building']",2
19687,OPT4SMART,Distributed Optimization Methods for Smart Cyber-Physical Networks,638992,"The combination of embedded electronics and communication capability in almost any mobile or portable device has turned this century into the age of cyber-physical networks. Smart communicating devices with their sensing, computing and control capabilities promise to make our cities, transportation systems, factories and living environments more intelligent, energy-efficient, safe and secure. This extremely complex system has raised a number of new challenges involving ICT disciplines. In particular, a novel peer-to-peer distributed computational model is appearing as a new opportunity in which a service is built-up cooperatively by peers, rather than by a unique provider that knows and owns all data. The interdisciplinary “Optimization Community” is facing this revolution sharing a common need: to find new theories, methodologies and tools to optimize over this complex network system. With this in mind, OPT4SMART has a twofold objective. First, to provide a comprehensive theoretical framework to solve distributed optimization problems over peer-to-peer networks. Second, to develop effective numerical tools, based on this framework, to solve estimation, learning, decision and control problems in cyber-physical networks. To achieve this twofold objective, we will take a systems-theory perspective. Specific problems from these four areas will be abstracted to a common mathematical set-up, and addressed by means of interdisciplinary methodologies arising from a synergic combination of optimization, controls, and graph theories. In particular, OPT4SMART will face the challenge of solving optimization problems under severe communication limitations, very-large-scale problem and data size, and real-time computational constraints. The expected result will be a combination of strong theoretical methods and effective numerical toolboxes available to people in Engineering, Computer Science, Mathematics and other areas, who are facing optimization in cyber-physical networks.",2015-10-01,2021-09-30,72.0,SIGNED,1488750.0,1488750.0,['energy'],,"['smart', 'cities', 'community']",3
19738,GeoUS,Geothermal Energy in Special Underground Structures,856670,"GeoUS will support increased research excellence in geothermal energy at VSB -Technical University of Ostrava, Czech Republic through close cooperation with Fraunhofer Institute, Germany and University of Vaasa, Finland. The ultimate goal is the development of multi-disciplinary research and innovation skills in the Czech Republic, focused on the fundamental and practical aspects of developing geothermal as a sustainable energy source. GeoUS will enable VSB to expand its network with  leading research organisations in geothermal energy. It also involves young researchers to support future development of research activities impacting in the Moravia Region in line with the Regional and National Research and Innovation Strategy for Smart Specialization (RIS3 Strategy) and ESIF targets. The results will be widely shared with City Authority of Ostrava, Moravian-Silesian Regional Authority and also with authorities at national level.GeoUS will: 1. Transfer knowledge and build excellent research.2. Increase scientific excellence in thermal characterization and mathematical modelling of heat flows and temperature fields and in measurement and control of energy flows.3. Improve the scientific excellence and research capacity of VSB.4. Increase the capacity of VSB for participation in future high-quality research activities and innovation in thermal energy in Central Europe.5. Increase the interaction with and between the main players in the innovation process in Czech Republic for developing and exploiting geothermal energy.6. Widen the visibility of VSB as a centre of excellence for thermal energy.7. Engage with the public and citizens and young people on science related to thermal energy.",2020-01-01,2022-12-31,36.0,SIGNED,796250.0,796250.0,['energy'],['energy'],"['smart', 'city']",2
19802,TripleA-reno,"Attractive, Acceptable and Affordable deep Renovation by a consumers orientated and performance evidence based approach",784972,"TripleA-reno will focus on following market barriers for deep renovation: 1The renovation market is top-down and supply-driven, with a mismatch between the offered products and packages and the end-users’ requirements 2 There is no view on the total performances in practice (energy, indoor environmental quality, health and well-being), as well as a solid quality control of the renovation process 3 After the renovation process there is a lack of data on the real building performance in practice, on energy, IEQ and health. Many European projects have addressed these barriers. The overall aim is to make acceptation and decision making on deep and nZE renovation attractive for consumers and end-users. This by clear, unambiguous and meaningful information and communication on real, proven performances on energy, Indoor Environmental Quality and personal health in practice, strengthened by consumer centred business models. TripleA-reno will achieve this aim by developing an open end-users centred gamified platform for validation and community building, The objectives are:1. To foster new consumer and end-user centred business models, using evidence based performances that facilitate decision-making. 2. Improving performances of deep renovation by enhanced quality control, supported by targeted CPD and training, 3. Providing consumers and end-users of deep renovation projects with attractive, understandable and personalized information of realised real performance. 4. To demonstrate the benefits and evidence based solutions in live demonstration cases.  5. To roll out the results on a wider European scale by the in Triple A-Reno involved European interest groups and umbrella associations",2018-05-01,2021-10-31,42.0,SIGNED,1999933.13,1999933.88,['energy'],,"['building', 'community']",2
19803,Biofficiency,Highly-efficient biomass CHP plants by handling ash-related problems,727616,"Medium- to large-scale bioenergy utilisation for electricity and combined industrial or district heating is predicted to increase by 160% in 2020 compared to 2010, while carbon emission quotas are becoming stricter. Finding new ways to efficiently utilise cheap and currently unused feedstocks are necessary in order to meet these challenges.Within the project Biofficiency we will investigate how to handle ash-related problems in order to increase steam temperatures up to 600°C in biomass-based CHP plants, including pulverised fuel and fluidised bed systems. The major aspects are fly ash formation, the use of additives, and pre-treatment technologies for difficult fuels. This leads to highly reduced emissions, in particular CO2 and fine particulates, as well as a secure and sustainable energy production. Biofficiency gathers a unique consortium of excellent academic facilities and industrial partners, providing an exceptional platform for the development of new, highly-efficient CHP plants in order to significantly expand their potential in the fast-growing field of renewable energies. By sharing our collective experience, we will strengthen European bio-energy technologies and help solving global climate and energy challenges. The project approach addresses current bottlenecks in solid biomass combustion, namely enhanced deposit formation, corrosion and ash utilisation by a variety of new, promising technologies. Our goal is to deepen the understanding of fly ash formation, to improve current biomass pre-treatment technologies, as well as to contribute to the field of biomass ash utilisation. Through our strong collaboration with industry and academic partners, we want to pave the way for highly-efficient, low-emitting biomass CHP plants, capable of firing low-grade fuels. This benefits industry, communal partners and public authorities by providing sustainable heat and electricity at significantly decreased emissions.",2016-11-01,2019-10-31,36.0,CLOSED,4603760.0,4603760.0,['energy'],,"['climate', 'district']",2
19822,SET PLAN ENVE 2019,SET Plan/ENVE Conference 2019,858144,"The 12th SET Plan Conference will be held during 12 - 14 June 2019, at the Politehnica University of Bucharest – Romania, under the auspices of the Romanian Presidency of the Council of the EU and will be conjoined with the external ENVE (Environment, Climate change and Energy) Commission and Conference within the European Committee of the Regions. ENVE is the Committee of the Regions’ Commission where more than 120 EU local and regional leaders are working for environment, climate change, energy and space policies.The main organizer of the Conference is the Romanian Municipalities Association (AMR), being the first time in the SET-Plan history, when an association of local authorities will organize this conference. The organisation of the conference will be performed in close cooperation with the European Commission DG Energy, DG Research and Innovation and DG Communications Networks, Content and Technology, European Committee of the Regions, Ministry of Energy of Romania and the Ministry of Foreign and European Affairs of the Romania; the Global Covenant of Mayors; the Permanent Representation of Romania to the EU and Cityhall of the District 3 of Bucharest.The main objective of the 12th year anniversary SET Plan conference is to perform an exchange of numerous innovative ideas and good practices with a clear involvement of local and regional leaders from the European Union in areas as: Integrated energy systems; Energy poverty and management of the energy transition in vulnerable regions; Improving performance and reducing cost of renewable energy; Energy Efficiency in Buildings; Energy Efficiency in Industry; Smart Cities; e-Mobility; Carbon Capture Utilisation and Storage; Digitalization and ICT in energy; Blue energy. Since this exchange should be inclusive, pragmatic and forward looking, we intend to involve a large number of EU, national, local and regional public and private stakeholders, academia, as well as a consistent number of political leaders.",2019-06-01,2019-12-31,7.0,CLOSED,249750.0,249750.0,['energy'],,"['cities', 'district', 'smart', 'buildings', 'climate']",5
19839,CLASS,Edge and CLoud Computation: A Highly Distributed Software Architecture for Big Data AnalyticS,780622,"Big data applications processing extreme amounts of complex data are nowadays being integrated with even more challenging requirements such as the need of continuously processing vast amount of information in real-time.Current data analytics systems are usually designed following two conflicting  priorities to provide (i) a quick and reactive response (referred to as data-in-motion analysis), possibly in real-time based on continuous data flows; or (ii) a thorough and more computationally intensive feedback (referred to as data-at-rest analysis), which typically implies aggregating more information into larger models. Given the apparently incompatible requirements, these approaches have been tackled separately although they provide complementary capabilities.CLASS aims to develop a novel software architecture to help big data developers to combine data-in-motion and data-at-rest analysis by efficiently distributing data and process mining along the compute continuum (from edge to cloud) in a complete and transparent way, while providing sound real-time guarantees. CLASS aims at adopting (1) innovative distributed architectures from the high-performance domain; (2) timing analysis methods and energy-efficient parallel architectures from the embedded domain; and (3) data analytics platforms and programming models from the big-data domain.The capabilities of the CLASS framework will be demonstrated on a real smart-city use case, featuring a heavy sensor infrastructure to collect real-time data across a wide urban area, and prototype cars equipped with heterogeneous sensors/actuators, V2I connectivity, and cluster support to present the innovative capabilities to drivers. Representative applications for traffic management and advanced driving assistance domains have been selected to efficiently process very large heterogeneous data streams in real-time, providing innovative services while preparing the technological background for the advent of autonomous vehicles",2018-01-01,2021-06-30,42.0,SIGNED,3900802.5,3900802.5,['energy'],,"['smart', 'city', 'urban']",3
19861,Bio-FlexGen,Highly-efficient and flexible integration of biomass and renewable hydrogen for low-cost combined heat and power generation to the energy system.,101037085,"Climate change is the most significant challenge for humanity today. For this reason, fossil fuels must be replaced utilising renewables, improved energy efficiency and more flexible energy systems. An optimal combination of several renewable sources is needed to satisfy human energy needs. Bioenergy, in combination with hydrogen, can take the role as secure and plannable source for power and heat complementing intermittent renewable sources such as wind and sun. BIO-FlexGen will increase the efficiency and flexibility of renewable energy-based combined heat and power (CHP), playing a key role in energy system integration, and make a significant contribution to the decarbonisation of the energy system.In particular, to overcome these challenges, Bio-FlexGen brings to the table a unique combination of gasification and gas turbine technology that allows the plant to utilise hydrogen for fast dispatch and biomass for low operating costs over time. Due to the high efficiency, three times more power can be generated from biomass for the same heat load, and the plant can quickly achieve full load by starting and operating on 100% hydrogen. To meet fluctuations in seasonal demands and prices, a variant of the plant can provide climate-positive hydrogen production during long periods of low electricity prices or heat demand.To do so, Bio-FlexGen consortium gathers the necessary experience, knowledge and resources through a multi-stakeholder approach that covers the whole value chain of the project. It consists of a multidisciplinary team of 14 entities from 5 different EU countries (Spain, Finland, Sweden, Germany, Hungary), among which, 4 universities, 2 RTD organisations, 1 NGO, and 4 SMEs to ensure market exploitation (2 industrial companies and 1 District heat company).",2021-09-01,2024-08-31,36.0,SIGNED,5984697.5,5984697.5,['energy'],['energy'],"['positive', 'climate', 'district']",3
19922,UNTWIST,UNraveling the knoT of the Water-energy-food nexus usIng ecosySTems services,893103,"UNTWIST aims at exploring new pathways to operationalize Water-Energy-Food (WEF) nexus concepts into practice. Despite the urgent need of adopting systemic thinking for the governance of water resource and interconnected sectors has been widely recognized and stressed by EU, several challenges for an effective mainstreaming of such frameworks into policy remain. These can be largely attributed to the lack of frameworks and tools able to effectively quantify interlinkages and feedbacks between nexus component and related ecosystems and to account for the effect of exogenous drivers of change (e.g. climate change). By combining ESs theories with complex system analysis, UNTWIST aims at contributing to fill these gaps demonstrating, through case studies applications, the potential of Artificial Intelligence (AI) in developing integrated models supporting the quantification of critical interactions occurring in WEF nexus systems. Ecosystem Services (ESs) flows, being in the centre of the WEF relationships, will be used as common assessment endpoints to disentangle the nexus, thus contributing to reveal potential interdependencies between policy sectors and unlock opportunities for delivering integrated solutions addressing key challenges towards the achievement of interconnected Sustainable Development Goals (SDGs). The research project, which will last 24 months, will be mainly conducted at the Basque Centre for Climate Change (BC3) in Bilbao (Spain), under the supervision of Professor Ferdinando Villa, while a secondment period, will be performed at GECOsistema (Italy), an environmental consulting based in Rimini. UNTWIST results will be disseminated and the main findings will be communicated with tailored actions to a wide audience, including the academic community, policy makers, industries and the general public.",2021-02-01,2023-01-31,24.0,SIGNED,160932.48,160932.48,['energy'],['energy'],"['climate', 'community']",2
19939,GreenDeal4Buildings,National Roundtables to Implement the Smart Finance for Smart Buildings Initiative in Slovakia and the Czech Republic - GreenDeal4Buildings (Green Deal for Buildings),101032653,"The overall objective of the project is setting up the Roundtables to implement smart finance for smart buildings initiative (SF4SB) in Slovakia and the Czechia, working out with stakeholders roadmaps and action plans aimed at developing the three pillars that underpin the initiative and launch implementation of the roadmaps with implementing short-term measures agreed in the roadmaps and the action plans before end of the project. The Roundtables dedicated to energy efficiency investment will be permanent multilateral discussion forums gathering the relevant stakeholders such as government, regional authorities and municipalities, financial sector, ESCOs, homeowners, operators throughout the energy efficiency value chain and construction sector. The majority of operators in the construction sector in are SMEs (large proportion are micro enterprises). Moreover, many SMEs in the energy efficiency value chain, particularly in energy performance of buildings, are essential for market disruptive innovations that are making the energy transformation in building sector successful. Therefore, the project will put particular focus on SMEs.  An essential aim of the renovation efforts in both countries will be organizing renovations into larger blocks to benefit from better financing conditions and economics of scale. Therefore, the roadmaps will underpin the necessary coordination and support for creating a large-scale pipeline of bankable projects through aggregation of large number of small  projects to feed the financial schemes developed by the financial sector with investment packages of a critical size for making the use of the private sources of financing as efficient and effective as possible.",2021-06-01,2024-05-31,36.0,SIGNED,1151100.45,1151101.25,['energy'],,"['building', 'smart', 'buildings']",3
19977,ARMOUR,smARt Monitoring Of distribUtion netwoRks for robust power quality,890844,"General awareness about the smart grid technologies has improved in the last decade due to various energy liberalization actions taken by the European Union. However, the lack of well-developed technologies, has been main cause of slow acceptance of smart grids. This calls for the identification of unexplored research areas in smart grids. Positive outcomes of the research can help in laying down new and well-defined standards for the smart grids and associated intelligent technologies. A convenient and easily integrable product can also help in encouraging various distribution system operators to accept the new technologies. Massive amount of data is already being collected from the distribution networks using smart meters. Rapid advancements in machine learning research have opened up new avenues for data utilization in smart grid. Forerunners like DEPsys (a smart grid technology company based in Switzerland), have now simplified the distribution system data for further analysis and research. A critical concern raised by DEPsys customers, is their inability to trace the source of power quality issues in the distribution network, which in-turn leads to both energy and economic losses over time. This project builds up on existing infrastructure of DEPsys and aims to be an AMROUR (by improving robustness) for distribution networks against power quality events. The main objectives are: (i) leveraging machine learning for condition monitoring and tracing power quality events, and (ii) to develop a smart grid technology which assists the distribution system operators in prevention and diagnosis of power quality events.",2020-10-15,2022-10-14,24.0,SIGNED,191149.44,191149.44,['energy'],,"['smart', 'positive']",2
20039,VOLTA,innoVation in geOspatiaL and 3D daTA,734687,"Geodata are datasets that have a spatial, temporal and thematic aspect to describe phenomena and processes in time, space and topic. Geodata, or geospatial data, are nowadays collected and produced with various sensors and techniques which provide for images, 3D point clouds, thematic maps, etc. Geodata are used in many Geosciences and for various applications such as urban planning, territorial management, damage assessment, environmental monitoring, 3D city modelling, renewable energy assessment, land registry, heritage documentation, etc. Despite a growing market, a large number of applications, a vast series of publications and various acquisition and processing techniques, there are still many unresolved research questions on the automation of processing procedures, and on how to make them more reliable, powerful and scale-invariant. Moreover, an efficient availability, access and use of geospatial data are often missing. This hinders the growth of new applications and societal welfares. Progress in provision of efficiently and effectively derived 3D geospatial information is thus the key to more comprehensive, faster and better exploitation of geodata, for the benefit of individuals and societies. Last but not least, new occupations are emerging in the geospatial industry which requires capacity building for developing new applications of geospatial technologies. The VOLTA project, through secondments, training activities and networking, will facilitate knowledge exchange and career progresses in the geospatial field. The project will develop innovative solutions to (i) automatically provide metric information from images, (ii) fuse heterogeneous data coming from various sensors, (iii) segment 2D and 3D geospatial data and (iv) process large geospatial datasets in the Cloud. The project will share and exploit the complementary expertise of the partners to produce and transfer new skills and innovative solutions for mapping agencies and geospatial companies.",2017-06-01,2021-05-31,48.0,SIGNED,1021500.0,1021500.0,['energy'],,"['city', 'urban', 'building']",3
20052,TransTurb,Large Deviations and Rare Transitions in Turbulent flows,753021,"Many out-of-equilibrium systems undergo transitions from one quasi-stationary state to a radically different one.Turbulent flows, for instance, exhibit sudden switches between attractors.It is crucial to understand this phenomenon, both for theoretical reasons and for potential applications to industrial or geophysical flows.Indeed, abrupt transitions or tipping points are a critical component of climate dynamics, which is a topic of major importance for society as a whole, in addition to being a  scientific subject of uttermost current interest.Over the past decades, outstanding progress has been achieved in non-equilibrium statistical physics thanks to the theory of large deviations, which provides a natural generalization of the core concepts of equilibrium statistical mechanics: like entropy or free energy, large deviation rate functions encode all the relevant statistical information about an observable, such as its most probable values but also the probability of small and large fluctuations and the transitions between steady-states.However, large deviation computations have been up to now mostly restricted to relatively simple systems.This project will further develop cutting-edge analytical and numerical tools to compute large deviations in complex systems such as turbulent flows and the climate.The new ingredients we will consider are on the one hand, time-dependent attractors, and on the other hand, a complex field structure, since both are key features of geophysical flows.The goal of the project is at the same time to be able to predict some universal features of rare but high-impact transitions in turbulent attractors or, ultimately, the climate, and to promote novel techniques in rare event simulations which are applicable in an increasingly large spectrum of problems.Due to the combination of skills from the parties involved, the project will build a fruitful bridge between the statistical mechanics and the climate communities.",2017-12-01,2019-11-30,24.0,CLOSED,123138.0,123138.0,['energy'],,"['communities', 'climate']",2
20062,Quakebots,Artificial Intelligence and IoT for seismic monitoring,806911,"The objective of the Quakebots project is to introduce and validate a novel technology and tools for disaster management during earthquakes, with the ambition of minimizing both direct and indirect damage during and after a seismic event, increasing people safety and helping in the assessment of post-seismic damage to critical infrastructures.Recent news of disasters in central Italy, and southern Europe in general, demonstrated how earthquakes are one of the most harmful natural disasters, accountable for invaluable losses in terms of damage to critical infrastructures, cultural heritage and impairment of local transportation and energy distribution network. Unfortunately, the countries that are more exposed to seismic risk show also the highest percentage of building heritage older than 40 years, more than 75%, and ancient historical buildings, with no seismic aware design in place. In such countries, earthquakes are also accountable for countless death tolls.Quake Engineering proposes a distributed sensor network that is capable of automatically detect the occurrence of primary waves during a seismic event, and acting as a distributed IoT P2P neural network, propagate an alert to all the other nodes in the network in cascade. This “signaling” wave propagates much faster than the harmful secondary waves, providing the users with a local acoustic and visual alert, giving them a small time frame in the magnitude of tens of seconds for taking safety critical actions.The main purpose of the project is to carry an extensive demonstration of the effectiveness of the solution in a medium scale scenario, targeting the B2B and B2A markets as the most promising and eager early adopters. The project will also cover the incremental research and development effort for a rapid market uptake. It is foreseen that the system will be ready for the commercialization by 2019.The successful introduction of Quakebots will generate up to 10M€ in revenues in a three year period.",2018-04-01,2018-09-30,6.0,CLOSED,50000.0,71429.0,['energy'],,"['building', 'buildings']",2
20166,IMPETUS,"Intelligent Management of Processes, Ethics and Technology for Urban Safety",883286,"An interconnected city grid of sensors, such as of cameras or environmental sensors, offers a wealth of actionable Big Data. In addition to better managing traffic and public transit, as well as controlling pollution, they can be used for enhanced policing, crowd control, and even public sentiment monitoring. However, such smart systems increase the risk of unethical use of personal data, and increase the attack surface of a city as multiple interconnected IT systems control key infrastructures such as transport, energy, water distribution, etc.To address the growing security and ethical threats on smart cities, the project will develop an integrated toolkit that covers the complete physical and cybersecurity value chain (detection, simulation & analysis, intervention). The project will enhance the resilience of cities in the face of security events in public spaces, by addressing three main aspects of urban security in smart cities: •Technologies:  integrating and developing the tools and processes underlying the capacity of cities to manage both physical security and cyber security, leveraging the power of IoT, Artificial Intelligence and Big Data analysis•Ethics: ensuring smart city capabilities are developed for the benefit of society, balancing potentially conflicting needs to collect, transform and share large amounts of data with the protection of data privacy •Processes: delivering a multi-tenant solution fully aligned with the operational needs of multiple city stakeholders (e.g. police, first responders, municipalities) supported by a framework gathering deployment guidelines and best practicesThe consortium includes 17 partners from 11 different EU Member States and Associated Countries, including 2 local government authorities (City of Padova and City of Oslo) that will lead the field trial implementations. The project will also be supported by a Community of Safe and Secure Cities (COSSEC) gathering other cities to provide feedback.",2020-09-01,2023-02-28,30.0,SIGNED,7990275.0,9210562.5,['energy'],,"['urban', 'cities', 'smart', 'city', 'community']",5
20193,Siner,An online data management tool to implement industrial symbiosis projects towards a circular economy,886483,"The demand for resources (water, food, energy, land and minerals) is continuously increasing, given the rising purchasing power of agrowing populatiThe demand for resources (water, food, energy, land and minerals) is continuously increasing, given the risingpurchasing power of a growing population. The global resource extraction is projected to reach an estimated value of 184 billiontonnes in 2050 and the supply could be further aggravated by climate change, making natural resources increasingly scarce andmore expensive.Hence, industrial symbiosis is the tool to implement circular economy into the manufacturing sector: it’s the process by which wasteor by-products of an industry or industrial process become the raw materials for another. Big data analysis is a promising approachto identify the potential industrial symbioses within the perimeter of a large industrialized city. However, industrial symbiosis hasn’tbeen widely implemented because resource input and waste output data aren’t disclosed or collected, making data-driven andoptimisation solutions very difficult to implement.Simbiosy has developed Síner, an industrial symbiosis project management software that manages and estimates resources (rawmaterials, waste, water and energy) and waste (wastewater, residual heat) data of the industries within a given territory. Sínergathers data from different sources and processes it via Big Data tools and algorithms that are capable to estimate the unavailabledata.The aim of the phase 1 project is to improve our understanding of the EU market for industrial symbiosis management tools, identifyregional market variations in terms of purchase decision makers, appropriate business models, pricing structure and identify whichare the most attractive markets for us to use as a beachhead.In the EU, circular activities generated almost € 147 billion in value added and account for €17.5 billion worth of investments. Weplan to target 16,884 municipalities.",2019-12-01,2020-04-30,5.0,CLOSED,50000.0,71429.0,['energy'],,"['city', 'climate']",2
20218,EnSO,Energy for Smart Objects,692482,"The goal of EnSO is to develop and consolidate a unique European ecosystem in the field of autonomous micro energy sources (AMES) supporting Electronic European industry to develop innovative products, in particular in IoT markets. In summary, EnSO multi-KET objectives are:• Objective 1: demonstrate the competitiveness of EnSO energy solutions of the targeted Smart Society, Smart Health, and Smart Energy key applications • Objective 2: disseminate EnSO energy solutions to foster the take-up of emerging markets.• Objective 3: develop high reliability assembly technologies of shapeable micro batteries, energy harvester and power management building blocks • Objective 4: Develop and demonstrate high density, low profile, shapeable, long life time, rechargeable micro battery product family.• Objective 5: develop customizable smart recharge and energy harvesting enabling technologies for Autonomous Micro Energy Source “AMES”. • Objective 6: demonstrate EnSO Pilot Line capability and investigate and assess the upscale of AMES manufacturing for competitive very high volume production.EnSO will bring to market innovative energy solutions inducing definitive differentiation to the electronic smart systems. Generic building block technologies will be customizable. EnSO manufacturing challenges will develop high throughput processes.The ENSo ecosystem will involve all the value chain from key materials and tools to many demonstrators in different fields of application.EnSO work scope addresses the market replication, demonstration and technological introduction activities of ECSEL Innovation Action work program. EnSO relates to several of the Strategic Thrusts of ECSEL MASP. EnSO innovations in terms of advanced materials, advanced equipment and multi-physics co-design of heterogeneous smart systems will contribute to the Semiconductor Process, Equipment and Materials thrust. The AMES will be a key enabling technology of Smart Energy key applications.",2016-01-01,2020-04-30,52.0,SIGNED,16677344.36,64564262.24,['energy'],['energy'],"['building', 'smart']",2
